Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Aachen,1880-01-01T00:00:00.000,L5,,Fell,50.775000,6.083330
Aarhus,1951-01-01T00:00:00.000,H6,,Fell,56.183330,10.233330
Abee,1952-01-01T00:00:00.000,EH4,,Fell,54.216670,-113.000000
Acapulco,1976-01-01T00:00:00.000,Acapulcoite,,Fell,16.883330,-99.900000
Achiras,1902-01-01T00:00:00.000,L6,,Fell,-33.166670,-64.950000
Adhi Kot,1919-01-01T00:00:00.000,EH4,,Fell,32.100000,71.800000
Adzhi-Bogdo (stone),1949-01-01T00:00:00.000,LL3-6,,Fell,44.833330,95.166670
Agen,1814-01-01T00:00:00.000,H5,,Fell,44.216670,0.616670
Aguada,1930-01-01T00:00:00.000,L6,,Fell,-31.600000,-65.233330
Aguila Blanca,1920-01-01T00:00:00.000,L,,Fell,-30.866670,-64.550000
Aioun el Atrouss,1974-01-01T00:00:00.000,Diogenite-pm,,Fell,16.398060,-9.570280
Aïr,1925-01-01T00:00:00.000,L6,,Fell,19.083330,8.383330
Aire-sur-la-Lys,1769-01-01T00:00:00.000,Unknown,,Fell,50.666670,2.333330
Akaba,1949-01-01T00:00:00.000,L6,,Fell,29.516670,35.050000
Akbarpur,1838-01-01T00:00:00.000,H4,,Fell,29.716670,77.950000
Akwanga,1959-01-01T00:00:00.000,H,,Fell,8.916670,8.433330
Akyumak,1981-01-01T00:00:00.000,"Iron, IVA",,Fell,39.916670,42.816670
Al Rais,1957-01-01T00:00:00.000,CR2-an,,Fell,24.416670,39.516670
Al Zarnkh,2001-01-01T00:00:00.000,LL5,,Fell,13.660330,28.960000
Alais,1806-01-01T00:00:00.000,CI1,,Fell,44.116670,4.083330
Albareto,1766-01-01T00:00:00.000,L/LL4,,Fell,44.650000,11.016670
Alberta,1949-01-01T00:00:00.000,L,,Fell,2.000000,22.666670
Alby sur Chéran,2002-01-01T00:00:00.000,Eucrite-mmict,,Fell,45.821330,6.015330
Aldsworth,1835-01-01T00:00:00.000,LL5,,Fell,51.783330,-1.783330
Aleppo,1873-01-01T00:00:00.000,L6,,Fell,36.233330,37.133330
Alessandria,1860-01-01T00:00:00.000,H5,,Fell,44.883330,8.750000
Alexandrovsky,1900-01-01T00:00:00.000,H4,,Fell,50.950000,31.816670
Alfianello,1883-01-01T00:00:00.000,L6,,Fell,45.266670,10.150000
Allegan,1899-01-01T00:00:00.000,H5,,Fell,42.533330,-85.883330
Allende,1969-01-01T00:00:00.000,CV3,,Fell,26.966670,-105.316670
Almahata Sitta,2008-01-01T00:00:00.000,Ureilite-an,,Fell,20.745750,32.412750
Alta'ameem,1977-01-01T00:00:00.000,LL5,,Fell,35.273330,44.215560
Ambapur Nagla,1895-01-01T00:00:00.000,H5,,Fell,27.666670,78.250000
Andhara,1880-01-01T00:00:00.000,Stone-uncl,,Fell,26.583330,85.566670
Andover,1898-01-01T00:00:00.000,L6,,Fell,44.616670,-70.750000
Andreevka,1969-01-01T00:00:00.000,L3,,Fell,48.700000,37.500000
Andura,1939-01-01T00:00:00.000,H6,,Fell,20.883330,76.866670
Northwest Africa 5815,,L5,,Found,0.000000,0.000000
Angers,1822-01-01T00:00:00.000,L6,,Fell,47.466670,-0.550000
Angra dos Reis (stone),1869-01-01T00:00:00.000,Angrite,,Fell,-22.966670,-44.316670
Ankober,1942-01-01T00:00:00.000,H4,,Fell,9.533330,39.716670
Anlong,1971-01-01T00:00:00.000,H5,,Fell,25.150000,105.183330
Aomori,1984-01-01T00:00:00.000,L6,,Fell,40.810560,140.785560
Appley Bridge,1914-01-01T00:00:00.000,LL6,,Fell,53.583330,-2.716670
Apt,1803-01-01T00:00:00.000,L6,,Fell,43.866670,5.383330
Arbol Solo,1954-01-01T00:00:00.000,H5,,Fell,-33.000000,-66.000000
Archie,1932-01-01T00:00:00.000,H6,,Fell,38.500000,-94.300000
Arroyo Aguiar,1950-01-01T00:00:00.000,H5,,Fell,-31.416670,-60.666670
Asco,1805-01-01T00:00:00.000,H6,,Fell,42.450000,9.033330
Ash Creek,2009-01-01T00:00:00.000,L6,,Fell,31.805000,-97.010000
Ashdon,1923-01-01T00:00:00.000,L6,,Fell,52.050000,0.300000
Assisi,1886-01-01T00:00:00.000,H5,,Fell,43.033330,12.550000
Atarra,1920-01-01T00:00:00.000,L4,,Fell,25.254170,80.625000
Atemajac,1896-01-01T00:00:00.000,L6,,Fell,20.066670,-103.666670
Athens,1933-01-01T00:00:00.000,LL6,,Fell,34.750000,-87.000000
Atoka,1945-01-01T00:00:00.000,L6,,Fell,34.316670,-96.150000
Aubres,1836-01-01T00:00:00.000,Aubrite,,Fell,44.383330,5.166670
Aumale,1865-01-01T00:00:00.000,L6,,Fell,36.166670,3.666670
Aumieres,1842-01-01T00:00:00.000,L6,,Fell,44.333330,3.233330
Ausson,1858-01-01T00:00:00.000,L5,,Fell,43.083330,0.583330
Avanhandava,1952-01-01T00:00:00.000,H4,,Fell,-21.460280,-49.950830
